@relation molecular_Promoter-.training4

@attribute p-50 {a,c,g,t}
@attribute p-49 {a,c,g,t}
@attribute p-48 {a,c,g,t}
@attribute p-47 {a,c,g,t}
@attribute p-46 {a,c,g,t}
@attribute p-45 {a,c,g,t}
@attribute p-44 {a,c,g,t}
@attribute p-43 {a,c,g,t}
@attribute p-42 {a,c,g,t}
@attribute p-41 {a,c,g,t}
@attribute p-40 {a,c,g,t}
@attribute p-39 {a,c,g,t}
@attribute p-38 {a,c,g,t}
@attribute p-37 {a,c,g,t}
@attribute p-36 {a,c,g,t}
@attribute p-35 {a,c,g,t}
@attribute p-34 {a,c,g,t}
@attribute p-33 {a,c,g,t}
@attribute p-32 {a,c,g,t}
@attribute p-31 {a,c,g,t}
@attribute p-30 {a,c,g,t}
@attribute p-29 {a,c,g,t}
@attribute p-28 {a,c,g,t}
@attribute p-27 {a,c,g,t}
@attribute p-26 {a,c,g,t}
@attribute p-25 {a,c,g,t}
@attribute p-24 {a,c,g,t}
@attribute p-23 {a,c,g,t}
@attribute p-22 {a,c,g,t}
@attribute p-21 {a,c,g,t}
@attribute p-20 {a,c,g,t}
@attribute p-19 {a,c,g,t}
@attribute p-18 {a,c,g,t}
@attribute p-17 {a,c,g,t}
@attribute p-16 {a,c,g,t}
@attribute p-15 {a,c,g,t}
@attribute p-14 {a,c,g,t}
@attribute p-13 {a,c,g,t}
@attribute p-12 {a,c,g,t}
@attribute p-11 {a,c,g,t}
@attribute p-10 {a,c,g,t}
@attribute p-9 {a,c,g,t}
@attribute p-8 {a,c,g,t}
@attribute p-7 {a,c,g,t}
@attribute p-6 {a,c,g,t}
@attribute p-5 {a,c,g,t}
@attribute p-4 {a,c,g,t}
@attribute p-3 {a,c,g,t}
@attribute p-2 {a,c,g,t}
@attribute p-1 {a,c,g,t}
@attribute p1 {a,c,g,t}
@attribute p2 {a,c,g,t}
@attribute p3 {a,c,g,t}
@attribute p4 {a,c,g,t}
@attribute p5 {a,c,g,t}
@attribute p6 {a,c,g,t}
@attribute p7 {a,c,g,t}
@attribute class {genuine,impostor}

@data
a,t,a,t,g,a,a,c,g,t,t,g,a,g,a,c,t,g,c,c,g,c,t,g,a,g,t,t,a,t,c,a,g,c,t,g,t,g,a,a,c,g,a,c,a,t,t,c,t,g,g,c,g,t,c,t,a,genuine
c,g,a,a,c,g,a,g,t,c,a,a,t,c,a,g,a,c,c,g,c,t,t,t,g,a,c,t,c,t,g,g,t,a,t,t,a,c,t,g,t,g,a,a,c,a,t,t,a,t,t,c,g,t,c,t,c,genuine
c,a,a,t,g,g,c,c,t,c,t,a,a,a,c,g,g,g,t,c,t,t,g,a,g,g,g,g,t,t,t,t,t,t,g,c,t,g,a,a,a,g,g,a,g,g,a,a,c,t,a,t,a,t,g,c,g,genuine
t,t,g,a,c,c,t,a,c,t,a,c,g,c,c,a,g,c,a,t,t,t,t,g,g,c,g,g,t,g,t,a,a,g,c,t,a,a,c,c,a,t,t,c,c,g,g,t,t,g,a,c,t,c,a,a,t,genuine
c,g,t,c,t,a,t,c,g,g,t,g,a,a,c,c,t,c,c,g,g,t,a,t,c,a,a,c,g,c,t,g,g,a,a,g,g,t,g,a,c,g,c,t,a,a,c,g,c,a,g,a,t,g,c,a,g,genuine
g,c,c,a,a,t,c,a,a,t,c,a,a,g,a,a,c,t,t,g,a,a,g,g,g,t,g,g,t,a,t,c,a,g,c,c,a,a,c,a,g,c,c,t,g,a,c,a,t,c,c,t,t,c,g,t,t,genuine
t,g,g,a,t,g,g,a,c,g,t,t,c,a,a,c,a,t,t,g,a,g,g,a,a,g,g,c,a,t,a,a,c,g,c,t,a,c,t,a,c,c,t,g,a,t,g,t,t,t,a,c,t,c,c,a,a,genuine
g,a,g,g,t,g,g,c,t,a,t,g,t,g,t,a,t,g,a,c,c,g,a,a,c,g,a,g,t,c,a,a,t,c,a,g,a,c,c,g,c,t,t,t,g,a,c,t,c,t,g,g,t,a,t,t,a,genuine
c,g,t,a,g,c,g,c,a,t,c,a,g,t,g,c,t,t,t,c,t,t,a,c,t,g,t,g,a,g,t,a,c,g,c,a,c,c,a,g,c,g,c,c,a,g,a,g,g,a,c,g,a,c,g,a,c,genuine
c,g,a,c,c,g,a,a,g,c,g,a,g,c,c,t,c,g,t,c,c,t,c,a,a,t,g,g,c,c,t,c,t,a,a,a,c,g,g,g,t,c,t,t,g,a,g,g,g,g,t,t,t,t,t,t,g,genuine
