@relation solar-flare2.training3

@attribute largest_spot_size {A,H,K,R,S,X}
@attribute spot_distribution {C,I,O,X}
@attribute Activity {1,2}
@attribute Evolution {1,2,3}
@attribute Previous_24_hour_flare_activity_code {1,2,3}
@attribute Historically-complex {1,2}
@attribute Did_region_become_historically_complex {1,2}
@attribute Area {1,2}
@attribute Area_of_the_largest_spot {1}
@attribute C-class_flares_production_by_this_region {0,1,2,3,4,5,6,8}
@attribute M-class_flares_production_by_this_region {0,1,2,3,4,5}
@attribute X-class_flares_production_by_this_region {0,1,2}
@attribute class {genuine,impostor}

@data
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,I,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,2,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,2,2,1,2,2,1,1,0,0,0,genuine
X,O,1,2,1,2,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,1,1,2,2,1,1,0,0,0,genuine
X,O,1,1,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,2,2,1,1,1,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,1,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,1,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,1,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,1,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,1,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,3,1,1,2,1,1,0,0,0,genuine
X,O,1,1,1,1,2,1,1,0,0,0,genuine
X,I,1,2,1,2,2,1,1,0,1,0,genuine
X,O,1,3,1,1,2,1,1,1,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,O,1,2,1,1,2,1,1,0,0,0,genuine
X,I,1,3,1,1,2,1,1,0,0,0,genuine
