@relation tic-tac-toe.training1

@attribute top-left-square {b,o,x}
@attribute top-middle-square {b,o,x}
@attribute top-right-square {b,o,x}
@attribute middle-left-square {b,o,x}
@attribute middle-middle-square {b,o,x}
@attribute middle-right-square {b,o,x}
@attribute bottom-left-square {b,o,x}
@attribute bottom-middle-square {b,o,x}
@attribute bottom-right-square {b,o,x}
@attribute Class {genuine,impostor}

@data
x,o,x,o,x,o,x,b,b,genuine
x,o,x,o,x,o,o,x,x,genuine
x,o,x,o,x,o,b,b,x,genuine
x,o,x,o,x,b,x,o,b,genuine
x,o,x,o,x,b,x,b,o,genuine
x,o,x,o,x,b,o,b,x,genuine
x,o,x,o,x,b,b,o,x,genuine
x,o,x,o,o,x,o,x,x,genuine
x,o,x,o,o,x,b,b,x,genuine
x,o,x,o,b,x,o,b,x,genuine
x,o,x,o,b,x,b,o,x,genuine
x,o,x,b,x,o,x,o,b,genuine
x,o,x,b,x,o,x,b,o,genuine
x,o,x,b,x,o,o,b,x,genuine
x,o,x,b,x,o,b,o,x,genuine
x,o,x,b,x,b,x,o,o,genuine
x,o,x,b,x,b,o,o,x,genuine
x,o,x,b,o,x,o,b,x,genuine
x,o,x,b,b,x,o,o,x,genuine
x,o,o,x,x,x,x,o,o,genuine
x,o,o,x,x,x,o,x,o,genuine
x,o,o,x,x,x,o,o,x,genuine
x,o,o,x,x,x,o,b,b,genuine
x,o,o,x,x,x,b,o,b,genuine
x,o,o,x,x,x,b,b,o,genuine
x,o,o,x,x,o,x,o,x,genuine
x,o,o,x,x,o,x,b,b,genuine
x,o,o,x,x,o,o,x,x,genuine
x,o,o,x,x,o,b,b,x,genuine
x,o,o,x,x,b,x,o,b,genuine
x,o,o,x,x,b,x,b,o,genuine
x,o,o,x,x,b,o,b,x,genuine
x,o,o,x,x,b,b,o,x,genuine
x,o,o,x,o,x,x,x,o,genuine
x,o,o,x,o,x,x,b,b,genuine
x,o,o,x,o,o,x,x,x,genuine
x,o,o,x,o,b,x,x,b,genuine
x,o,o,x,o,b,x,b,x,genuine
x,o,o,x,b,x,x,o,b,genuine
x,o,o,x,b,x,x,b,o,genuine
x,o,o,x,b,o,x,x,b,genuine
x,o,o,x,b,o,x,b,x,genuine
x,o,o,x,b,b,x,x,o,genuine
x,o,o,x,b,b,x,o,x,genuine
x,o,o,x,b,b,x,b,b,genuine
x,o,o,o,x,x,x,o,x,genuine
x,o,o,o,x,x,o,x,x,genuine
x,o,o,o,x,x,b,b,x,genuine
x,o,o,o,x,o,x,x,x,genuine
x,o,o,o,x,b,x,b,x,genuine
x,o,o,o,x,b,b,x,x,genuine
x,o,o,o,o,x,x,x,x,genuine
x,o,o,o,b,b,x,x,x,genuine
x,o,o,b,x,x,o,b,x,genuine
x,o,o,b,x,x,b,o,x,genuine
x,o,o,b,x,o,x,b,x,genuine
x,o,o,b,x,o,b,x,x,genuine
x,o,o,b,x,b,x,o,x,genuine
x,o,o,b,x,b,o,x,x,genuine
x,o,o,b,x,b,b,b,x,genuine
x,o,o,b,o,b,x,x,x,genuine
x,o,o,b,b,o,x,x,x,genuine
x,o,b,x,x,x,o,o,b,genuine
x,o,b,x,x,x,o,b,o,genuine
x,o,b,x,x,x,b,o,o,genuine
x,o,b,x,x,o,x,o,b,genuine
x,o,b,x,x,o,x,b,o,genuine
x,o,b,x,x,o,o,b,x,genuine
x,o,b,x,x,o,b,o,x,genuine
x,o,b,x,x,b,x,o,o,genuine
